sample,type,value,iso
FE 01,"Treated, Baked, Own Rxn Temp",-0.32,O
FE 02,"Treated, Baked, Own Rxn Temp",1.43,O
FE 03,"Treated, Baked, Own Rxn Temp",0.22,O
FE 04,"Treated, Baked, Own Rxn Temp",-0.67,O
FE 05,"Treated, Baked, Own Rxn Temp",0.31,O
FE 06,"Treated, Baked, Own Rxn Temp",0.81,O
FE 07,"Treated, Baked, Own Rxn Temp",-0.49,O
FE 08,"Treated, Baked, Own Rxn Temp",0.09,O
TIE,"Treated, Baked, Own Rxn Temp",1.54,O
BOO-11,"Treated, Baked, Own Rxn Temp",0.75,O
FE 01,"Treated, Baked, Own Rxn Temp",0.38,C
FE 02,"Treated, Baked, Own Rxn Temp",0.96,C
FE 03,"Treated, Baked, Own Rxn Temp",0.61,C
FE 04,"Treated, Baked, Own Rxn Temp",0.42,C
FE 05,"Treated, Baked, Own Rxn Temp",0.52,C
FE 06,"Treated, Baked, Own Rxn Temp",0.7,C
FE 07,"Treated, Baked, Own Rxn Temp",0.33,C
FE 08,"Treated, Baked, Own Rxn Temp",0.37,C
TIE,"Treated, Baked, Own Rxn Temp",0.55,C
BOO-11,"Treated, Baked, Own Rxn Temp",0.97,C
FE 01,"Treated, Unbaked, 50 Rxn Temp",1.41,O
FE 02,"Treated, Unbaked, 50 Rxn Temp",2.5,O
FE 03,"Treated, Unbaked, 50 Rxn Temp",2,O
FE 04,"Treated, Unbaked, 50 Rxn Temp",1.38,O
FE 05,"Treated, Unbaked, 50 Rxn Temp",1.87,O
FE 06,"Treated, Unbaked, 50 Rxn Temp",2.32,O
FE 07,"Treated, Unbaked, 50 Rxn Temp",0.73,O
FE 08,"Treated, Unbaked, 50 Rxn Temp",2.51,O
TIE,"Treated, Unbaked, 50 Rxn Temp",0.86,O
BOO-11,"Treated, Unbaked, 50 Rxn Temp",3.58,O
FE 01,"Treated, Unbaked, 50 Rxn Temp",0.12,C
FE 02,"Treated, Unbaked, 50 Rxn Temp",0.49,C
FE 03,"Treated, Unbaked, 50 Rxn Temp",0.44,C
FE 04,"Treated, Unbaked, 50 Rxn Temp",0.1,C
FE 05,"Treated, Unbaked, 50 Rxn Temp",0.19,C
FE 06,"Treated, Unbaked, 50 Rxn Temp",0.49,C
FE 07,"Treated, Unbaked, 50 Rxn Temp",0.2,C
FE 08,"Treated, Unbaked, 50 Rxn Temp",0.41,C
TIE,"Treated, Unbaked, 50 Rxn Temp",-0.1,C
BOO-11,"Treated, Unbaked, 50 Rxn Temp",0.46,C
FE 01,"Treated, Unbaked, Own Rxn Temp",0.52,C
FE 02,"Treated, Unbaked, Own Rxn Temp",0.87,C
FE 03,"Treated, Unbaked, Own Rxn Temp",0.48,C
FE 04,"Treated, Unbaked, Own Rxn Temp",0.39,C
FE 05,"Treated, Unbaked, Own Rxn Temp",0.76,C
FE 06,"Treated, Unbaked, Own Rxn Temp",0.78,C
FE 07,"Treated, Unbaked, Own Rxn Temp",0.45,C
FE 08,"Treated, Unbaked, Own Rxn Temp",0.41,C
TIE,"Treated, Unbaked, Own Rxn Temp",0.39,C
BOO-11,"Treated, Unbaked, Own Rxn Temp",1,C
FE 01,"Treated, Unbaked, Own Rxn Temp",0.7,O
FE 02,"Treated, Unbaked, Own Rxn Temp",0.93,O
FE 03,"Treated, Unbaked, Own Rxn Temp",1.52,O
FE 04,"Treated, Unbaked, Own Rxn Temp",0.59,O
FE 05,"Treated, Unbaked, Own Rxn Temp",1.04,O
FE 06,"Treated, Unbaked, Own Rxn Temp",1.6,O
FE 07,"Treated, Unbaked, Own Rxn Temp",0.14,O
FE 08,"Treated, Unbaked, Own Rxn Temp",1.65,O
TIE,"Treated, Unbaked, Own Rxn Temp",1.61,O
BOO-11,"Treated, Unbaked, Own Rxn Temp",1.53,O
FE 01,"Untreated, Baked, 30 Rxn Temp",0.09,C
FE 02,"Untreated, Baked, 30 Rxn Temp",0.37,C
FE 03,"Untreated, Baked, 30 Rxn Temp",0.08,C
FE 04,"Untreated, Baked, 30 Rxn Temp",0.09,C
FE 05,"Untreated, Baked, 30 Rxn Temp",-0.01,C
FE 06,"Untreated, Baked, 30 Rxn Temp",0.19,C
FE 07,"Untreated, Baked, 30 Rxn Temp",0.02,C
FE 08,"Untreated, Baked, 30 Rxn Temp",0.11,C
TIE,"Untreated, Baked, 30 Rxn Temp",0.25,C
BOO-11,"Untreated, Baked, 30 Rxn Temp",0.1,C
FE 01,"Untreated, Baked, 30 Rxn Temp",0.22,O
FE 02,"Untreated, Baked, 30 Rxn Temp",0.61,O
FE 03,"Untreated, Baked, 30 Rxn Temp",0.92,O
FE 04,"Untreated, Baked, 30 Rxn Temp",-0.02,O
FE 05,"Untreated, Baked, 30 Rxn Temp",-0.17,O
FE 06,"Untreated, Baked, 30 Rxn Temp",0.67,O
FE 07,"Untreated, Baked, 30 Rxn Temp",-0.18,O
FE 08,"Untreated, Baked, 30 Rxn Temp",0.44,O
TIE,"Untreated, Baked, 30 Rxn Temp",0.41,O
BOO-11,"Untreated, Baked, 30 Rxn Temp",1.38,O
FE 01,"Untreated, Unbaked, 50 Rxn Temp",-0.22,C
FE 02,"Untreated, Unbaked, 50 Rxn Temp",-0.07,C
FE 03,"Untreated, Unbaked, 50 Rxn Temp",-0.23,C
FE 04,"Untreated, Unbaked, 50 Rxn Temp",-0.77,C
FE 05,"Untreated, Unbaked, 50 Rxn Temp",-0.88,C
FE 06,"Untreated, Unbaked, 50 Rxn Temp",-0.05,C
FE 07,"Untreated, Unbaked, 50 Rxn Temp",-0.54,C
FE 08,"Untreated, Unbaked, 50 Rxn Temp",-0.08,C
TIE,"Untreated, Unbaked, 50 Rxn Temp",0.01,C
BOO-11,"Untreated, Unbaked, 50 Rxn Temp",-0.22,C
FE 01,"Untreated, Unbaked, 50 Rxn Temp",0.71,O
FE 02,"Untreated, Unbaked, 50 Rxn Temp",1.65,O
FE 03,"Untreated, Unbaked, 50 Rxn Temp",1.57,O
FE 04,"Untreated, Unbaked, 50 Rxn Temp",0.04,O
FE 05,"Untreated, Unbaked, 50 Rxn Temp",-0.35,O
FE 06,"Untreated, Unbaked, 50 Rxn Temp",0.94,O
FE 07,"Untreated, Unbaked, 50 Rxn Temp",-0.31,O
FE 08,"Untreated, Unbaked, 50 Rxn Temp",1.15,O
TIE,"Untreated, Unbaked, 50 Rxn Temp",1.14,O
BOO-11,"Untreated, Unbaked, 50 Rxn Temp",2.42,O
FE 01,"Untreated, Unbaked, Own Rxn Temp",-0.11,C
FE 02,"Untreated, Unbaked, Own Rxn Temp",0.19,C
FE 03,"Untreated, Unbaked, Own Rxn Temp",-0.02,C
FE 04,"Untreated, Unbaked, Own Rxn Temp",-0.16,C
FE 05,"Untreated, Unbaked, Own Rxn Temp",-0.2,C
FE 06,"Untreated, Unbaked, Own Rxn Temp",0.14,C
FE 07,"Untreated, Unbaked, Own Rxn Temp",-0.24,C
FE 08,"Untreated, Unbaked, Own Rxn Temp",-0.01,C
TIE,"Untreated, Unbaked, Own Rxn Temp",0.01,C
BOO-11,"Untreated, Unbaked, Own Rxn Temp",0.15,C
FE 01,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 02,"Untreated, Unbaked, Own Rxn Temp",0.21,O
FE 03,"Untreated, Unbaked, Own Rxn Temp",0.96,O
FE 04,"Untreated, Unbaked, Own Rxn Temp",-0.56,O
FE 05,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 06,"Untreated, Unbaked, Own Rxn Temp",0.04,O
FE 07,"Untreated, Unbaked, Own Rxn Temp",-0.19,O
FE 08,"Untreated, Unbaked, Own Rxn Temp",0.34,O
TIE,"Untreated, Unbaked, Own Rxn Temp",1.19,O
BOO-11,"Untreated, Unbaked, Own Rxn Temp",0.77,O
